Date,Open,High,Low,Close,Volume
2021-05-11,3857.43,3875.11,3798.96,3827.07,4246352
2021-05-12,3831.12,3874.2,3819.33,3848.81,3215601
2021-05-13,3842.02,3884.17,3811.61,3877.84,4649991
2021-05-14,3899.13,3931.34,3881.93,3893.69,6659882
2021-05-17,3899.13,3923.6,3884.63,3908.64,2815046
2021-05-18,3922.71,3923.6,3880.09,3880.09,3132059
2021-05-19,3867.85,3901.85,3835.2,3882.35,4459783
2021-05-20,3909.89,3930.02,3893.42,3930.02,3617899
2021-05-21,3923.59,3934.59,3893.42,3912.65,3599309
2021-05-24,3924.54,3936.86,3904.42,3906.24,3580199
2021-05-25,3908.05,3941.0,3903.94,3939.15,3523515
2021-05-26,3946.46,3974.84,3933.69,3936.44,6638663
2021-05-27,3927.29,3935.04,3832.62,3832.62,11824684
2021-05-28,3832.62,3884.75,3819.31,3866.0,4782099
2021-06-01,3876.51,3900.76,3844.94,3878.34,2659826
2021-06-02,3879.69,3916.76,3871.49,3887.48,2345871
2021-06-03,3885.66,3911.27,3865.52,3903.94,2629263
2021-06-04,3914.94,3936.44,3887.02,3908.53,2027682
2021-06-07,3922.68,3922.68,3890.7,3902.13,2085459
2021-06-08,3911.27,3939.15,3905.32,3912.18,3170153
2021-06-09,3908.98,3924.98,3896.19,3911.27,2681023
2021-06-10,3900.29,3936.86,3892.51,3915.36,3030361
2021-06-11,3910.36,3924.98,3897.55,3908.98,2491247
2021-06-14,3924.07,3944.19,3903.48,3928.63,3054931
2021-06-15,3949.25,3988.55,3945.14,3967.52,3758482
2021-06-16,3958.83,4008.23,3956.57,3976.23,3184581
2021-06-17,3944.65,3987.2,3927.29,3980.78,6112830
2021-06-18,3988.55,4000.9,3920.87,3939.63,10942981
2021-06-21,3929.11,3978.49,3921.33,3937.33,3396336
2021-06-22,3933.21,3967.52,3928.63,3946.46,3529324
2021-06-23,3933.69,3956.08,3898.01,3898.01,2996660
2021-06-24,3905.32,3935.04,3886.1,3886.1,4283499
2021-06-25,3887.48,3903.03,3864.61,3895.72,2973591
2021-06-28,3899.38,3920.4,3882.91,3918.58,2543483
2021-06-29,3933.21,3933.21,3905.32,3909.89,1719555
2021-06-30,3900.29,3910.8,3859.12,3869.63,4034699
2021-07-01,3871.01,3908.98,3865.52,3897.55,2795329
2021-07-02,3909.44,3921.77,3887.48,3905.76,2369140
2021-07-05,3894.35,3900.76,3870.55,3900.76,1438174
2021-07-06,3877.88,3925.9,3877.42,3925.9,2958510
2021-07-07,3930.02,3991.77,3908.05,3988.1,3039066
2021-07-08,3970.24,3971.63,3912.18,3930.51,2702950
2021-07-09,3947.4,3957.89,3909.44,3928.63,2577044
2021-07-12,3910.8,3941.91,3902.13,3940.06,2988355
2021-07-13,3941.45,3972.09,3924.07,3970.24,1637399
2021-07-14,3953.8,3960.67,3908.53,3937.77,3562274
2021-07-15,3933.21,3971.63,3912.65,3920.87,3638232
2021-07-16,3949.68,3987.2,3934.36,3986.27,3585688
2021-07-19,3984.89,3996.31,3944.65,3975.3,3192558
2021-07-20,3996.31,4013.71,3948.31,3952.87,5489402
2021-07-21,3960.67,3982.63,3931.84,3935.95,4237587
2021-07-22,3832.62,3835.81,3687.15,3705.0,9381451
2021-07-23,3690.83,3793.72,3677.11,3790.52,4013262
2021-07-26,3760.81,3787.79,3686.7,3687.15,5216331
2021-07-27,3669.34,3743.42,3646.48,3705.9,4949703
2021-07-28,3698.14,3724.22,3693.13,3704.06,3550736
2021-07-29,3709.13,3762.61,3694.93,3756.69,3540182
2021-07-30,3745.71,3805.63,3737.45,3796.93,4131977
2021-08-02,3815.22,3815.22,3744.78,3780.47,2758506
2021-08-03,3778.17,3828.03,3772.23,3801.05,2497360
2021-08-04,3808.83,3825.29,3772.68,3772.68,2640064
2021-08-05,3794.31,3816.01,3778.64,3784.15,4014727
2021-08-06,3785.54,3789.22,3762.0,3776.76,3033254
2021-08-09,3776.76,3810.93,3758.79,3806.78,2436076
2021-08-10,3812.32,3817.84,3785.54,3790.62,3384659
2021-08-11,3805.37,3827.55,3795.68,3817.84,2249088
2021-08-12,3811.85,3842.77,3806.29,3811.85,2127693
2021-08-13,3821.55,3849.25,3818.28,3838.6,2616992
2021-08-16,3829.85,3843.22,3767.1,3811.85,2258266
2021-08-17,3802.16,3842.77,3783.23,3842.77,2283338
2021-08-18,3838.6,3847.82,3782.79,3785.54,2178684
2021-08-19,3766.15,3792.48,3741.24,3791.53,1929724
2021-08-20,3799.85,3834.0,3765.24,3816.92,2586199
2021-08-23,3825.23,3829.39,3780.0,3798.46,2436460
2021-08-24,3789.22,3801.68,3739.39,3768.03,3223604
2021-08-25,3762.93,3773.08,3716.31,3728.78,3160104
2021-08-26,3713.08,3758.3,3699.69,3749.55,2565409
2021-08-27,3755.55,3757.87,3733.41,3733.41,2047339
2021-08-31,3742.16,3752.78,3707.55,3734.3,4496316
2021-09-01,3735.72,3756.0,3720.03,3732.49,2808238
2021-09-02,3702.49,3703.41,3622.2,3655.88,5646601
2021-09-03,3663.26,3708.48,3648.0,3671.56,3426532
2021-09-06,3685.43,3700.63,3661.86,3693.71,2012190
2021-09-07,3692.79,3696.93,3672.48,3681.73,2741794
2021-09-08,3671.1,3721.39,3636.49,3712.63,4925321
2021-09-09,3698.78,3719.1,3660.04,3660.04,3081862
2021-09-10,3658.63,3671.56,3638.8,3654.01,2586674
2021-09-13,3656.31,3701.59,3654.95,3690.02,9743075
2021-09-14,3690.94,3733.86,3682.63,3698.78,3982351
2021-09-15,3693.26,3705.23,3663.26,3663.26,4272272
2021-09-16,3631.89,3665.54,3626.33,3642.04,4154483
2021-09-17,3664.63,3670.19,3613.42,3616.16,10908444
2021-09-20,3622.65,3689.09,3615.25,3680.8,6241228
2021-09-21,3680.8,3723.67,3663.72,3703.86,3794821
2021-09-22,3699.26,3736.62,3694.17,3709.88,2715772
2021-09-23,3715.85,3718.18,3683.55,3683.55,2451468
2021-09-24,3681.24,3700.63,3670.63,3682.63,4363609
2021-09-27,3696.47,3699.26,3652.18,3659.54,3939931
2021-09-28,3652.65,3731.08,3644.32,3703.41,5891868
2021-09-29,3730.64,3760.16,3717.24,3750.46,4226284
2021-09-30,3763.82,3767.1,3696.01,3696.47,5138147
2021-10-01,3686.33,3736.62,3665.54,3666.95,4722810
2021-10-04,3666.03,3670.63,3615.72,3644.32,3750656
2021-10-05,3645.68,3655.88,3615.25,3616.64,3321693
2021-10-06,3591.71,3599.58,3540.95,3579.28,4364615
2021-10-07,3595.87,3621.71,3575.58,3575.58,5309873
2021-10-08,3576.46,3589.87,3546.51,3568.64,3090558
2021-10-11,3554.35,3575.12,3536.34,3567.26,2335629
2021-10-12,3550.64,3565.4,3533.57,3554.81,3018034
2021-10-13,3538.21,3582.97,3522.02,3567.72,4668219
2021-10-14,3581.55,3583.87,3555.73,3581.12,2946292
2021-10-15,3576.46,3580.19,3514.66,3556.65,4684091
2021-10-18,3537.74,3558.95,3527.59,3542.79,3192660
2021-10-19,3544.19,3544.19,3488.83,3495.3,3988064
2021-10-20,3522.5,3550.18,3512.81,3524.81,3211403
2021-10-21,3571.88,3644.32,3536.34,3565.89,5418626
2021-10-22,3581.55,3613.42,3569.57,3593.1,2230917
2021-10-25,3599.58,3624.95,3572.82,3580.65,2873193
2021-10-26,3602.8,3621.71,3587.13,3616.16,2536520
2021-10-27,3618.93,3633.24,3592.2,3593.1,2627690
2021-10-28,3584.81,3609.72,3578.34,3599.58,6951439
2021-10-29,3589.87,3613.88,3560.81,3610.66,5009747
2021-11-01,3641.11,3645.68,3599.09,3626.8,2451132
2021-11-02,3631.89,3661.4,3606.48,3654.01,2240525
2021-11-03,3640.19,3655.41,3625.39,3640.63,2883814
2021-11-04,3644.34,3675.54,3614.54,3632.69,7160068
2021-11-05,3634.1,3662.52,3627.58,3632.69,5341081
2021-11-08,3641.08,3641.08,3597.78,3614.08,4263807
2021-11-09,3615.48,3645.71,3587.99,3639.68,3657287
2021-11-10,3644.34,3654.1,3618.73,3649.5,4325538
2021-11-11,3658.3,3676.48,3638.31,3650.4,3364653
2021-11-12,3632.69,3665.77,3631.3,3647.13,3497349
2021-11-15,3646.69,3651.81,3586.6,3639.68,3622664
2021-11-16,3620.13,3635.49,3587.99,3608.96,3427269
2021-11-17,3593.11,3605.68,3562.84,3591.27,4074584
2021-11-18,3586.6,3601.96,3560.98,3560.98,3459187
2021-11-19,3540.49,3608.96,3532.12,3585.21,4887489
2021-11-22,3568.9,3611.27,3565.17,3593.59,3804632
2021-11-23,3579.62,3638.75,3579.62,3635.03,9403534
2021-11-24,3636.43,3646.21,3611.27,3640.61,5434187
2021-11-25,3642.03,3710.96,3634.1,3701.64,4735413
2021-11-26,3649.5,3692.31,3621.99,3680.69,6785099
2021-11-29,3662.06,3680.2,3631.3,3652.26,6048558
2021-11-30,3650.87,3658.8,3594.52,3594.52,11380986
2021-12-01,3575.89,3607.53,3548.88,3590.32,6112060
2021-12-02,3569.37,3637.37,3565.64,3606.62,5104629
2021-12-03,3616.87,3628.05,3599.15,3613.16,3834452
2021-12-06,3641.55,3664.36,3612.2,3657.87,5829231
2021-12-07,3688.59,3696.5,3650.87,3682.06,4357010
2021-12-08,3686.72,3722.57,3680.69,3682.54,4898010
2021-12-09,3721.66,3721.66,3690.0,3709.1,3532686
2021-12-10,3715.61,3751.02,3707.21,3740.27,2805435
2021-12-13,3735.64,3745.88,3712.33,3745.88,4780980
2021-12-14,3751.94,3775.67,3730.03,3745.88,4226229
2021-12-15,3735.64,3747.73,3687.18,3697.44,3272639
2021-12-16,3710.03,3725.83,3679.27,3709.55,6714534
2021-12-17,3721.19,3736.54,3693.71,3709.1,11629777
2021-12-20,3687.18,3716.08,3662.96,3708.61,4725410
2021-12-21,3714.21,3718.38,3655.98,3670.43,3390057
2021-12-22,3665.77,3667.62,3622.9,3656.93,3050715
2021-12-23,3647.62,3682.54,3641.55,3682.06,3334792
2021-12-24,3677.87,3693.26,3676.48,3681.62,407750
2021-12-29,3709.1,3729.12,3691.85,3698.84,2037195
2021-12-30,3709.1,3709.1,3689.52,3694.65,1391314
2021-12-31,3676.01,3689.06,3653.65,3675.1,1050355
2022-01-04,3686.26,3723.99,3680.2,3722.14,3755949
2022-01-05,3706.29,3711.89,3671.8,3687.67,2696827
2022-01-06,3658.3,3676.01,3636.43,3649.0,3055753
2022-01-07,3632.69,3664.87,3630.37,3664.87,3591295
2022-01-10,3679.27,3703.5,3647.62,3694.65,5238652
2022-01-11,3671.37,3694.18,3639.68,3671.8,3759746
2022-01-12,3686.72,3686.72,3624.31,3634.57,3466618
2022-01-13,3626.19,3643.89,3607.09,3635.49,2617791
2022-01-14,3617.8,3666.69,3605.68,3666.69,2881115
2022-01-17,3519.53,3528.85,3355.14,3411.01,20034899
2022-01-18,3401.7,3408.23,3264.79,3275.5,16107561
2022-01-19,3213.52,3423.58,3213.52,3423.58,13453046
2022-01-20,3466.42,3489.24,3394.24,3404.98,10553322
2022-01-21,3373.78,3438.03,3371.89,3423.15,6490904
2022-01-24,3616.4,3705.35,3576.82,3673.23,20517143
2022-01-25,3658.8,3692.79,3627.58,3666.24,8165264
2022-01-26,3651.32,3676.01,3560.98,3568.43,6571981
2022-01-27,3558.2,3615.94,3539.09,3583.8,8098942
2022-01-28,3571.72,3571.72,3493.46,3526.98,11011446
2022-01-31,3546.54,3567.49,3510.22,3527.91,4720196
2022-02-01,3534.45,3552.61,3486.93,3492.06,3276200
2022-02-02,3504.66,3541.89,3469.21,3523.25,4395307
2022-02-03,3526.98,3557.71,3513.93,3542.81,4870123
2022-02-04,3540.94,3565.64,3534.45,3553.53,5479744
2022-02-07,3540.94,3608.96,3536.77,3594.04,13330997
2022-02-08,3597.78,3619.19,3589.86,3610.8,3955842
2022-02-09,3620.13,3635.97,3553.06,3566.1,3916778
2022-02-10,3453.85,3550.72,3416.13,3519.98,13013885
2022-02-11,3504.66,3665.77,3504.66,3646.21,12596310
2022-02-14,3626.65,3630.37,3526.51,3548.88,7121321
2022-02-15,3584.27,3601.02,3541.89,3572.14,5579683
2022-02-16,3555.86,3580.52,3541.42,3556.32,9344907
2022-02-17,3548.88,3567.04,3499.48,3539.09,4844867
2022-02-18,3548.88,3597.78,3547.47,3593.11,13132793
2022-02-21,3602.89,3609.42,3573.55,3586.12,5120682
2022-02-22,3559.11,3605.23,3515.8,3533.05,7205228
2022-02-23,3513.93,3592.64,3513.93,3580.52,4022574
2022-02-24,3511.91,3525.09,3416.48,3416.93,6591249
2022-02-25,3416.01,3527.43,3391.54,3515.68,5475558
2022-02-28,3503.91,3528.85,3480.4,3522.75,14366908
2022-03-01,3526.01,3545.3,3450.8,3464.91,7469408
2022-03-02,3445.63,3470.08,3384.99,3428.72,5755978
2022-03-03,3401.9,3425.42,3339.37,3350.66,6438588
2022-03-04,3328.57,3338.93,3199.75,3206.81,7222694
2022-03-07,3165.44,3165.44,3084.59,3129.21,10431126
2022-03-08,3126.39,3150.39,3072.34,3137.22,9343556
2022-03-09,3177.19,3228.89,3136.75,3228.89,7577101
2022-03-10,3215.72,3230.32,3150.84,3163.54,15347495
2022-03-11,3182.82,3203.51,3108.54,3188.94,4445230
2022-03-14,3188.94,3222.32,3164.01,3218.57,9851401
2022-03-15,3190.37,3236.4,3164.95,3179.53,8759386
2022-03-16,3224.67,3227.48,3179.53,3207.74,5638708
2022-03-17,3208.69,3234.08,3180.94,3234.08,5339635
2022-03-18,3235.97,3237.35,3175.78,3216.2,9724973
2022-03-21,3216.2,3244.87,3198.35,3202.08,5681548
2022-03-22,3222.81,3241.6,3197.39,3234.08,8737235
2022-03-23,3229.82,3257.56,3179.07,3182.82,8080888
2022-03-24,3184.23,3198.79,3164.49,3168.72,6750897
2022-03-25,3156.03,3195.52,3151.8,3184.23,8174217
2022-03-28,3209.61,3236.4,3196.94,3222.81,6351898
2022-03-29,3259.91,3367.58,3247.71,3319.13,10098913
2022-03-30,3318.22,3336.08,3306.01,3336.08,5712660
2022-03-31,3337.01,3340.79,3248.64,3248.64,5154688
2022-04-01,3275.44,3327.15,3274.05,3298.48,5764305
2022-04-04,3326.68,3340.79,3284.85,3309.76,3904791
2022-04-05,3318.22,3331.39,3295.17,3325.29,17877970
2022-04-06,3302.72,3325.29,3272.14,3288.62,10880757
2022-04-07,3295.67,3316.81,3277.33,3293.78,6174099
2022-04-08,3295.67,3331.39,3283.45,3326.23,4238520
2022-04-11,3306.47,3310.23,3256.62,3282.03,7789119
2022-04-12,3273.56,3273.56,3212.44,3227.02,7623124
2022-04-13,3222.81,3238.33,3208.21,3231.23,4910591
2022-04-14,3223.73,3235.97,3203.98,3224.19,6588801
2022-04-19,3172.96,3217.15,3158.84,3217.15,7799190
2022-04-20,3257.56,3269.35,3218.08,3261.35,5826815
2022-04-21,3270.76,3311.14,3259.91,3305.1,6936739
2022-04-22,3292.83,3353.01,3287.64,3329.51,3586345
2022-04-25,3303.64,3412.26,3289.55,3391.1,5141086
2022-04-26,3422.57,3455.02,3406.61,3424.5,7009184
2022-04-27,3419.79,3419.79,3340.33,3363.83,6814708
2022-04-28,3414.15,3462.55,3351.14,3455.51,6577124
2022-04-29,3461.6,3517.11,3452.21,3496.9,5944021
2022-05-03,3439.99,3454.56,3387.32,3439.99,9504782
2022-05-04,3414.61,3441.4,3395.34,3405.68,2940639
2022-05-05,3432.45,3451.74,3395.79,3413.19,7795103
2022-05-06,3417.89,3426.85,3370.87,3382.16,10054809
2022-05-09,3384.52,3424.5,3362.41,3418.83,8121841
2022-05-10,3445.14,3525.54,3434.34,3479.48,7722538
2022-05-11,3474.31,3480.9,3434.34,3470.08,4938168
2022-05-12,3439.07,3515.21,3422.57,3468.19,10132912
2022-05-13,3488.88,3535.44,3481.37,3523.18,7906729
2022-05-16,3478.55,3509.56,3435.29,3509.56,7824477
2022-05-17,3454.56,3485.13,3422.57,3447.04,5235913
2022-05-18,3452.68,3476.19,3409.42,3409.42,23215883
2022-05-19,3379.42,3386.56,3236.03,3277.8,9782180
2022-05-20,3281.6,3344.74,3281.6,3339.54,6507752
2022-05-23,3353.31,3361.37,3316.73,3360.9,8378344
2022-05-24,3358.06,3385.13,3339.54,3362.81,3842304
2022-05-25,3370.4,3370.4,3317.22,3317.22,4305538
2022-05-26,3322.92,3349.98,3301.07,3312.44,3687365
2022-05-27,3321.96,3333.37,3294.92,3300.6,4350945
2022-05-30,3315.79,3339.06,3296.32,3319.6,4207907
2022-05-31,3547.04,3632.51,3494.35,3632.51,22719542
2022-06-01,3639.15,3639.15,3508.58,3518.54,7448345
2022-06-06,3541.33,3553.7,3518.54,3530.9,3878078
2022-06-07,3530.9,3537.53,3497.66,3510.01,3786797
2022-06-08,3532.3,3532.3,3472.02,3492.43,8237062
2022-06-09,3481.98,3516.64,3438.77,3454.92,9003803
2022-06-10,3440.67,3461.1,3406.02,3456.35,3364025
2022-06-13,3447.79,3478.17,3416.91,3445.9,6161787
2022-06-14,3454.44,3467.72,3420.23,3427.87,6315719
2022-06-15,3475.34,3508.1,3432.13,3444.48,5348354
2022-06-16,3421.67,3442.09,3353.78,3374.67,14537243
2022-06-17,3377.97,3432.58,3367.54,3412.19,13864548
2022-06-20,3412.19,3424.55,3396.02,3419.8,2921752
2022-06-21,3415.04,3433.56,3399.83,3422.16,3281469
2022-06-22,3437.83,3458.74,3398.42,3427.87,5117048
2022-06-23,3409.34,3451.12,3397.48,3443.99,7434491
2022-06-24,3460.15,3565.55,3453.03,3548.95,4847009
2022-06-27,3576.46,3579.81,3523.28,3546.08,10564366
2022-06-28,3568.88,3578.38,3530.43,3553.7,3074760
2022-06-29,3533.75,3576.95,3516.17,3569.37,3470174
2022-06-30,3521.87,3539.45,3500.5,3533.75,6541404
2022-07-01,3542.29,3618.27,3531.38,3608.77,4068781
2022-07-04,3610.69,3624.45,3602.12,3611.13,1968850
2022-07-05,3607.35,3622.06,3587.39,3610.69,6328923
2022-07-06,3610.69,3698.03,3610.69,3676.21,7672356
2022-07-07,3695.66,3699.46,3632.03,3632.98,6501728
2022-07-08,3648.18,3662.9,3617.79,3642.96,3267937
2022-07-11,3625.86,3670.5,3623.51,3658.15,3282309
2022-07-12,3661.94,3703.25,3637.26,3694.73,4513318
2022-07-13,3676.66,3684.29,3638.2,3679.04,3372541
2022-07-14,3679.04,3697.55,3664.32,3685.24,5511816
2022-07-15,3694.73,3723.66,3687.6,3711.34,3881845
2022-07-18,3699.46,3729.38,3659.55,3670.5,4447457
2022-07-19,3655.3,3777.35,3655.3,3744.57,5906252
2022-07-20,3740.78,3774.01,3692.8,3697.09,7474817
2022-07-21,3700.87,3711.34,3660.06,3693.31,3354786
2022-07-22,3713.71,3734.11,3692.34,3714.67,3019794
2022-07-25,3710.86,3742.67,3696.62,3719.39,3656188
2022-07-26,3764.97,3837.64,3756.46,3829.11,6042241
2022-07-27,3900.8,3902.69,3789.2,3794.42,4732791
2022-07-28,3776.38,3783.04,3737.44,3770.22,3241926
2022-07-29,3766.92,3806.28,3761.2,3802.02,4408839
2022-08-01,3781.62,3806.28,3775.42,3788.26,2878937
2022-08-02,3790.14,3821.97,3786.36,3794.89,2261184
2022-08-03,3779.23,3816.26,3754.08,3812.95,3339164
2022-08-04,3812.78,3850.15,3784.52,3822.37,2181530
2022-08-05,3821.88,3839.6,3795.07,3805.62,1895124
2022-08-08,3821.88,3850.63,3786.43,3835.31,3106682
2022-08-09,3841.54,3845.37,3805.1,3827.17,5966873
2022-08-10,3803.68,3816.61,3768.23,3784.03,5761535
2022-08-11,3790.75,3793.62,3729.4,3757.7,4551003
2022-08-12,3739.49,3749.53,3721.75,3742.83,2794765
2022-08-15,3762.96,3777.34,3742.83,3768.69,4734102
2022-08-16,3785.46,3788.35,3740.91,3758.13,3970074
2022-08-17,3756.25,3777.34,3748.58,3776.38,5257463
2022-08-18,3784.03,3786.92,3746.17,3773.98,3505635
2022-08-19,3771.57,3842.98,3763.89,3837.2,3655031
2022-08-22,3831.93,3858.8,3807.51,3839.16,2215656
2022-08-23,3830.03,3832.44,3758.64,3777.34,3097480
2022-08-24,3766.29,3828.61,3758.64,3824.77,3263654
2022-08-25,3815.66,3830.99,3773.02,3801.75,4206252
2022-08-26,3810.89,3829.55,3761.49,3771.1,2795078
2022-08-30,3769.67,3816.61,3766.29,3779.24,5297421
2022-08-31,3771.1,3785.46,3723.64,3761.99,6020467
2022-09-01,3761.99,3761.99,3696.34,3717.42,4167937
2022-09-02,3716.48,3747.61,3708.33,3743.3,3634568
2022-09-05,3707.36,3718.37,3686.76,3718.37,4281360
2022-09-06,3702.09,3769.2,3702.09,3753.84,3471728
2022-09-07,3737.54,3769.67,3723.18,3761.99,3292505
2022-09-08,3761.49,3790.75,3708.81,3748.58,3552355
2022-09-09,3757.7,3827.63,3749.53,3788.35,4995263
2022-09-12,3814.22,3862.13,3799.84,3853.04,5149358
2022-09-13,3858.31,3892.81,3850.15,3850.15,3456020
2022-09-14,3839.6,3845.37,3785.46,3800.33,3344555
2022-09-15,3813.25,3831.49,3786.92,3804.15,2637081
2022-09-16,3799.37,3826.2,3772.53,3779.72,7552470
2022-09-20,3790.75,3837.2,3790.75,3811.83,6278858
2022-09-21,3791.69,3892.32,3780.7,3883.71,6164946
2022-09-22,3875.56,3918.2,3871.25,3885.61,6037659
2022-09-23,3887.07,3890.88,3800.79,3858.8,4414814
2022-09-26,3947.92,4003.98,3872.2,3929.22,7810194
2022-09-27,3955.58,3958.92,3899.02,3908.61,6059820
2022-09-28,3862.13,3911.95,3837.2,3895.69,11064648
2022-09-29,3920.11,3957.02,3881.79,3910.53,11154862
2022-09-30,3855.45,3874.12,3795.53,3803.68,6388012
2022-10-03,3748.58,3761.49,3707.36,3715.04,4132172
2022-10-04,3742.83,3808.49,3710.73,3797.95,6382401
2022-10-05,3743.79,3801.75,3741.37,3783.07,5770852
2022-10-06,3782.1,3823.34,3745.23,3768.23,2677597
2022-10-07,3754.34,3786.92,3754.34,3763.89,3347763
2022-10-10,3750.98,3762.96,3733.24,3747.14,3558933
2022-10-11,3757.19,3795.53,3744.26,3781.16,3616939
2022-10-12,3792.18,3805.62,3750.02,3769.2,3912086
2022-10-13,3759.11,3763.43,3639.31,3678.12,4399842
2022-10-14,3701.64,3766.8,3696.34,3720.3,5360895
2022-10-17,3720.3,3744.73,3694.44,3697.79,7316837
2022-10-18,3730.37,3747.61,3704.98,3731.33,3498891
2022-10-19,3738.51,3757.19,3725.59,3737.08,2954207
2022-10-20,3739.0,3750.98,3719.34,3746.66,6281000
2022-10-21,3717.42,3810.89,3708.81,3779.24,3375553
2022-10-24,3771.57,3782.1,3743.79,3758.13,4180068
2022-10-25,3777.34,3788.35,3733.72,3762.96,3173714
2022-10-26,3761.49,3762.96,3657.54,3707.86,6863808
2022-10-27,3731.33,3745.23,3665.67,3704.0,4440288
2022-10-28,3713.12,3765.85,3703.54,3754.78,3395537
2022-10-31,3774.44,3828.11,3755.29,3808.94,7073915
2022-11-01,3822.84,3831.49,3776.38,3783.07,6113990
2022-11-02,3799.84,3826.66,3760.08,3784.52,4317521
2022-11-03,3762.96,3830.49,3758.64,3829.09,4095895
2022-11-04,3824.77,3895.2,3813.25,3884.66,3716034
2022-11-07,3893.29,3900.48,3853.04,3864.07,5920841
2022-11-08,3850.15,3888.49,3842.02,3887.53,4291463
2022-11-09,3875.07,3904.79,3836.25,3900.48,3111209
2022-11-10,3902.39,3922.52,3874.12,3874.6,5546320
2022-11-11,3862.62,3870.74,3744.26,3775.4,6739595
2022-11-14,3816.61,3880.83,3798.4,3864.52,5466143
2022-11-15,3868.85,3940.73,3853.99,3865.49,4050929
2022-11-16,3888.0,3909.57,3875.56,3895.2,3284065
2022-11-17,3901.2,3925.88,3880.44,3924.9,2179405
2022-11-18,3920.55,3933.13,3896.87,3907.98,5104192
2022-11-21,3909.92,3979.56,3901.69,3977.64,3317833
2022-11-22,3964.57,3992.62,3955.86,3981.51,2943865
2022-11-23,3992.14,4006.65,3975.67,3975.67,2745590
2022-11-24,3964.57,3989.23,3956.82,3984.88,1493626
2022-11-25,3980.06,4003.26,3959.74,3978.59,3027828
2022-11-28,3978.1,4026.48,3966.02,4018.75,2820733
2022-11-29,3997.46,4027.43,3989.23,3989.23,3215498
2022-11-30,3995.53,4038.08,3992.14,4008.08,13167124
2022-12-01,4011.0,4043.4,3998.42,4042.43,3986614
2022-12-02,4036.63,4041.94,4003.26,4040.96,2845856
2022-12-05,4038.08,4045.33,3988.26,4041.94,2696089
2022-12-06,4056.93,4077.73,4039.04,4048.72,5170762
2022-12-07,4066.11,4090.79,4022.6,4024.52,3955757
2022-12-08,4033.71,4087.4,3995.05,4024.52,4629748
2022-12-09,3998.42,4030.34,3983.44,3990.19,7034223
2022-12-12,3985.84,4014.39,3979.07,3986.8,6748497
2022-12-13,3999.87,4000.37,3953.43,3970.87,3751308
2022-12-14,3965.54,4023.09,3951.51,4014.39,4638528
2022-12-15,4005.2,4019.2,3979.07,4001.33,4223783
2022-12-16,4001.79,4036.14,3939.44,4005.2,9845113
2022-12-19,4010.02,4036.63,4000.37,4036.63,3993168
2022-12-20,4028.4,4043.4,4011.47,4020.18,5656011
2022-12-21,4029.38,4086.43,4017.29,4086.43,2705468
2022-12-22,4084.51,4110.13,4070.96,4074.83,3757109
2022-12-23,4084.98,4090.3,4062.75,4075.8,926908
2022-12-28,4097.57,4099.99,4059.35,4067.58,2029870
2022-12-29,4061.29,4073.87,4023.56,4064.2,2423708
2022-12-30,4045.81,4063.24,4037.59,4044.85,3261822
2023-01-03,4022.6,4068.53,4008.59,4055.96,5737060
2023-01-04,4060.32,4106.75,4060.32,4088.37,2780803
2023-01-05,4073.87,4096.11,4042.43,4063.24,2996766
2023-01-06,4075.29,4082.08,4050.66,4063.69,3047270
2023-01-09,4064.2,4064.2,4017.29,4057.43,5586582
2023-01-10,4057.43,4074.35,4036.14,4060.32,5993613
2023-01-11,4053.08,4090.79,4042.92,4053.08,4584470
2023-01-12,4066.11,4079.68,4017.79,4047.75,3068609
2023-01-13,4059.84,4094.16,4047.26,4077.27,2900196
2023-01-16,4080.63,4099.49,4067.58,4091.27,2599588
2023-01-17,4045.33,4060.32,4017.79,4028.91,4197870
2023-01-18,4023.09,4029.38,3953.43,3960.7,5160326
2023-01-19,3966.51,4002.78,3920.07,3957.32,6227034
2023-01-20,3944.23,3969.4,3917.18,3955.4,4425293
2023-01-23,3971.34,3987.79,3962.16,3970.87,4392063
2023-01-24,3974.73,3980.06,3939.92,3965.04,7646338
2023-01-25,3976.18,3982.94,3914.77,3927.34,3564292
2023-01-26,3950.56,3959.74,3891.55,3910.88,3225612
2023-01-27,3911.37,3925.88,3879.46,3889.12,3117774
2023-01-30,3897.35,3941.34,3893.47,3938.46,4872672
2023-01-31,3928.78,3990.19,3916.2,3973.76,5001969
2023-02-01,3999.38,3999.38,3964.57,3997.46,3582000
2023-02-02,4002.3,4009.56,3935.07,3967.46,3343527
2023-02-03,3966.51,4038.08,3961.2,4034.21,4267120
2023-02-06,4029.38,4045.81,4009.06,4026.94,3391183
2023-02-07,4009.56,4013.41,3962.64,3969.4,4613694
2023-02-08,3966.02,3986.8,3958.76,3965.04,4829319
2023-02-09,3999.38,4019.2,3961.66,3974.25,5684025
2023-02-10,3971.34,4005.2,3965.54,3996.97,5528246
2023-02-13,4003.26,4127.08,3979.07,4122.22,4917624
2023-02-14,4139.63,4158.51,4122.7,4126.57,4035071
2023-02-15,4107.22,4130.42,4103.83,4127.54,4596420
2023-02-16,4136.73,4144.47,4080.16,4092.27,3197765
2023-02-17,4087.4,4111.59,4079.68,4096.59,4035375
2023-02-20,4100.94,4106.75,4068.07,4072.4,1766086
2023-02-21,4069.52,4107.22,4069.52,4099.49,6804319
